"name","size"
"typeB_ehime_2020_09.zip", 386.22M
"typeB_kagawa_2020_09.zip", 167.49M
"typeB_tokushima_2020_09.zip", 159.28M
"typeB_yamaguchi_2020_09.zip", 174.4M
"typeB_kushiro_2020_10.zip", 310.41M
"typeB_asahikawa_2020_10.zip", 274.75M
"typeB_hakodate_2020_10.zip", 235.88M
"typeB_sapporo_2020_10.zip",   1.11G
"typeB_ibaraki_2020_10.zip", 801.26M
"typeB_tochigi_2020_10.zip", 151.85M
"typeB_fukushima_2020_10.zip", 292.82M
"typeB_yamagata_2020_10.zip", 362.83M
"typeB_akita_2020_10.zip", 101.79M
"typeB_miyagi_2020_10.zip", 560.24M
"typeB_iwate_2020_10.zip", 654.63M
"typeB_aomori_2020_10.zip", 430.92M
"typeB_kitami_2020_10.zip", 187.24M
"typeB_saitama_2020_10.zip", 716.55M
"typeB_tokyo_2020_10.zip",   1.15G
"typeB_aichi_2020_10.zip", 361.27M
"typeB_shizuoka_2020_10.zip", 323.27M
"typeB_gifu_2020_10.zip", 162.81M
"typeB_fukui_2020_10.zip", 241.1M
"typeB_ishikawa_2020_10.zip", 346.35M
"typeB_toyama_2020_10.zip", 384.28M
"typeB_niigata_2020_10.zip", 538.75M
"typeB_nagano_2020_10.zip", 696.15M
"typeB_yamanashi_2020_10.zip", 103.14M
"typeB_kanagawa_2020_10.zip",   1.54G
"typeB_hiroshima_2020_10.zip", 183.28M
"typeB_okayama_2020_10.zip", 225.5M
"typeB_shimane_2020_10.zip", 245.02M
"typeB_tottori_2020_10.zip", 287.94M
"typeB_wakayama_2020_10.zip", 333.82M
"typeB_nara_2020_10.zip", 754.72M
"typeB_hyogo_2020_10.zip", 496.32M
"typeB_osaka_2020_10.zip",   1.13G
"typeB_kyoto_2020_10.zip", 595.49M
"typeB_shiga_2020_10.zip", 282.6M
"typeB_mie_2020_10.zip", 229.72M
"typeB_okinawa_2020_10.zip", 351.12M
"typeB_kagoshima_2020_10.zip", 459.43M
"typeB_miyazaki_2020_10.zip", 385.63M
"typeB_kumamoto_2020_10.zip", 590.98M
"typeB_nagasaki_2020_10.zip", 132.37M
"typeB_saga_2020_10.zip", 178.6M
"typeB_akita_2020_11.zip",  98.74M
"typeB_aomori_2020_11.zip", 415.27M
"typeB_asahikawa_2020_11.zip", 264.52M
"typeB_chiba_2020_11.zip", 649.52M
"typeB_fukui_2020_11.zip", 232.64M
"typeB_fukushima_2020_11.zip", 282.54M
"typeB_gifu_2020_11.zip", 154.92M
